date,close,signal,position,regime_label,regime_entropy,predicted_return,gross_return,transaction_cost,strategy_return,lgbm_naive_equity,gross_equity,equity
2022-10-13,19382.904296875,SELL,0,SIDEWAYS,0.007509,-0.0154583789664773,-0.0,0.0,-0.0,0.3477113317478937,0.7536376652017678,0.9157576887116115
2022-10-14,19185.65625,SELL,0,SIDEWAYS,0.001963,-0.0198608878829545,-0.0,0.0,-0.0,0.34985690075007625,0.7536376652017678,0.9157576887116115
2022-10-15,19067.634765625,SELL,0,SIDEWAYS,9.2e-05,-0.01373514777279,0.0,0.0,0.0,0.34619803728618564,0.7536376652017678,0.9157576887116115
2022-10-16,19268.09375,SELL,0,SIDEWAYS,0.000164,-0.0097596957174011,0.0,0.0,0.0,0.3411561842018429,0.7536376652017678,0.9157576887116115
2022-10-17,19550.7578125,SELL,0,SIDEWAYS,0.00037,-0.0155159584963252,-0.0,0.0,-0.0,0.3449523407407046,0.7536376652017678,0.9157576887116115
2022-10-18,19334.416015625,SELL,0,SIDEWAYS,0.000756,-0.0204822782310226,-0.0,0.0,-0.0,0.34844692247686837,0.7536376652017678,0.9157576887116115
2022-10-19,19139.53515625,SELL,0,SIDEWAYS,0.000351,-0.0209262754589118,-0.0,0.0,-0.0,0.35001238270354335,0.7536376652017678,0.9157576887116115
2022-10-20,19053.740234375,SELL,0,SIDEWAYS,0.000301,-0.0198170217717479,0.0,0.0,0.0,0.34783813705460753,0.7536376652017678,0.9157576887116115
2022-10-21,19172.46875,SELL,0,SIDEWAYS,0.000869,-0.0097472542491015,0.0,0.0,0.0,0.34719067413977067,0.7536376652017678,0.9157576887116115
2022-10-22,19208.189453125,SELL,0,SIDEWAYS,0.000125,0.0104096648910231,0.0,0.0,0.0,0.3536165315466303,0.7536376652017678,0.9157576887116115
2022-10-23,19567.0078125,SELL,0,SIDEWAYS,0.001411,-0.0123788042360108,-0.0,0.0,-0.0,0.35764114852823864,0.7536376652017678,0.9157576887116115
2022-10-24,19345.572265625,SELL,0,SIDEWAYS,0.075966,-0.0182336710038321,0.0,0.0,0.0,0.3440328579070599,0.7536376652017678,0.9157576887116115
2022-10-25,20095.857421875,HOLD,0,RECOVERY,0.265058,-0.0107534036022878,0.0,0.0,0.0,0.3326738581716783,0.7536376652017678,0.9157576887116115
2022-10-26,20770.44140625,BUY,1,RECOVERY,0.00999,-0.0111931257478348,-0.015081991813554421,0.0009582769715588273,-0.01604026878511325,0.34052761739960863,0.7422713081048085,0.9010686892426432
2022-10-27,20285.8359375,BUY,1,RECOVERY,0.004256,-0.0044211482568525,0.008061365987363402,0.0,0.008061365987363402,0.3353711804800482,0.7482550287813603,0.9083325337263819
2022-10-28,20595.3515625,BUY,1,RECOVERY,0.01781,-0.0057511776364648,0.005718321559406018,0.0,0.005718321559406018,0.33175739145941113,0.7525337916443748,0.9135266712370994
2022-10-29,20818.4765625,BUY,1,RECOVERY,0.056452,-0.0057511776364648,-0.004745255061724685,0.0,-0.004745255061724685,0.3346844798643355,0.7489628268604556,0.9091917541763911
2022-10-30,20635.603515625,BUY,1,RECOVERY,0.104462,-0.0084287317774932,-0.003508850111757419,0.0,-0.003508850111757419,0.33696007288960195,0.7463348285617242,0.9060015365881403
2022-10-31,20495.7734375,HOLD,0,RECOVERY,0.088703,-0.0056706123574591,-0.0,0.0,-0.0,0.337132742018995,0.7463348285617242,0.9060015365881403
2022-11-01,20485.2734375,HOLD,0,RECOVERY,0.245141,-0.0108765984352435,-0.0,0.0,-0.0,0.3425371228231873,0.7463348285617242,0.9060015365881403
2022-11-02,20159.50390625,HOLD,0,RECOVERY,0.239772,-0.0180218708519123,0.0,0.0,0.0,0.34168039757658747,0.7463348285617242,0.9060015365881403
2022-11-03,20209.98828125,HOLD,0,RECOVERY,0.426145,-0.0164177754299688,0.0,0.0,0.0,0.3261913423923822,0.7463348285617242,0.9060015365881403
2022-11-04,21147.23046875,HOLD,0,RECOVERY,0.023132,-0.0070525997181046,0.0,0.0,0.0,0.32410855113485704,0.7463348285617242,0.9060015365881403
2022-11-05,21282.69140625,BUY,1,RECOVERY,0.24918,-0.0098322048695554,-0.01009799801700625,0.0008974143704322894,-0.010995412387438539,0.3295790131886539,0.7387983409428852,0.8960396760697007
2022-11-06,20926.486328125,BUY,1,RECOVERY,0.23284,-0.0072728246561176,-0.008879913727362769,0.0,-0.008879913727362769,0.3347164446607585,0.7322378754133937,0.8880829210499077
2022-11-07,20602.81640625,BUY,1,RECOVERY,0.162818,-0.0071070801093969,-0.05771317737837224,0.0,0.0,0.37000514648688554,0.689978101026498,0.8880829210499077
